Title,Fuel,Price,Engine,Location,Transmission,Range,Description
honda cr-v (2024),Hybrid,Rp 642.000.000,>1.500 - 2.000 cc,"Pesanggrahan, Jakarta Selatan",Automatic,10.000-15.000 Km,"Deskripsi FOR SALE Honda CR-V CR V CRV 2.0 RS Hybrid e HEV Sensing AT Merah NIK 2024, PAJAK BULAN 8 (2026), ODOMETER 10RB KM RECORD AUTHORIZED! GRESS LIKE NEW *GARANSI HONDA 3 TAHUN ATAU 100.000 KM* - BELI MOBIL BEKAS TANPA KHAWATIR CUMA DI BELANJAMOBIL! Kami Berikan Garansi Langsung 1 Tahun GRATIS! Jaminan Garansi Meliputi : 1. Mesin 2. Transmisi 3. ⁠AC 4. ⁠Kaki-kaki 5. ⁠Sistem Pengereman 6. ⁠Layanan ERA (Emergency Road Asistance, Towing darurat) Bonus! Free Detailing (pembersihan) 2x (1 tahun) -UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali) -Dokumen ABSAH ⁠Focus Motor / Belanja Mobil sudah hadir di Indonesia sejak 25 tahun. Prioritas kami adalah menjaga kepuasan customer dan berkomitmen untuk menghadirkan mobil bekas terbaik untuk konsumen. - OTR KREDIT 642JT OTR CASH BY CALL Bunga Premium TDP 155,072,996 Angsuran 15,730,000 x47 TDP 122,474,458 Angsuran 14,715,000 x59 DP Minim Tdp 110jt Angs 17.324.000 x47 tlo Tdp 99jt Angs 15.217.000 x59 tlo UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda) - Spesifikasi : * Tangan Pertama Dari Baru, Pirbadi * BOSE 12 Speaker * Honda SENSING * Panoramic Sunroof * Engine 2.0 DOHC i-VTEC Engine + Electrical Motor (207 Ps & 335 Nm) * Keyless Start & Stop Engine * 3 Mode Drive System * Wireless Charging * Audio Steering Switch, Adaptive Cruise Control With Paddle Shift * 9 Inch Advanced Capacitive Touchscreen Display Audio, Smartphone Connection * Electric Leather Seat With Lumbar Support, 2 Slot Memory Seat * Full LED Headlamp with DRL, LED Foglamp * LED Stop Lamp * Airbags, ABS, BA, EBD, HSA, HDC, COMPLETE SAFETY CAR * Rear Parking Camera, Parking Sensor * Road Departure Mitigation, Lane Keep Assist, Auto High Beam, Collision Mitigation Braking * Electric Park Brake, Electric Brake Hold, Vehicle Stability Control * Power Back Door with Kick Sensor * Kaca Film 3M * Buku Manual, Buku Service, Key Card, Kunci Cadangan Tersedia LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (ABN) (D)"
honda br-v (2016),Bensin,Rp 155.000.000,>1.000 - 1.500 cc,"Kebayoran Lama, Jakarta Selatan",Automatic,50.000-55.000 Km,"Deskripsi -Plat Ganjil, -Silver On Black, -KM 52.000, -NIK 2016, -Pajak Hidup Sampai Bulan 12 2025, -Tipe dan Spec Tertinggi 1.5 PRESTIGE CVT AT, -DRL LED Lamp, -Black Leather Seat, -Headunit Original Honda, -Nanoe Technology, -Digital AC, -Steering Audio Switch, -Tinggal Pakai. . . For Cash : Rp 170 Juta For Credit : Rp 155 Juta . 3 Tahun TDP : Rp 33.984.393 Juta Angsuran : Rp 5.095.411Juta X 35 . 4 Tahun TDP : Rp 34.720.132 Juta Angsuran : Rp4.047.973 Juta X 47 . Harga Bisa Nego Langsung Di Tempat . Bonus!! -Free Towing selama 1tahun -Lulus otospector -Garansi Otospector . AUTOFAME MENERIMA •Menerima Jual Beli dan Tukar Tambah •Pembayaran bisa dengan (Cash / Kredit) •Autofame siap (General Check Up) ke bengkel resmi untuk membuktikan mobil kita berkualitas . Search google : Autofame Search waze : Autofame . Buka Setiap Hari: 09:00 - 18.00 (Sabtu / Minggu / Tanggal Merah tetap buka yaaa!!) -QUALITY IS OUR PRIORITY- . AUTOFame Cibubur Kota Wisata Somerset N 8 no. 5 Jalan Transyogie Km.6 Cibubur . AUTOFame Mangga dua square) Bursa otomotif Mangga dua square (BOM's) Lot L18-23 Jalan Gunung Sahari No. 1 Jakarta utara"
smart fortwo (2023),Listrik,Rp 625.000.000,<1.000 cc,"Cilandak, Jakarta Selatan",Automatic,0-5.000 Km,"Deskripsi Smart EQ fortwo NIK 2023 Cool Silver on Black 902 Perak Km 17.2 kWh Tax : 02/26 - Panoramic Roof - Power Gauge - Multifunction Steering Switch - Apple Car Play & Android Auto - Heater Seat - Ambient Light Bonus Setiap Pembelian Unit di Amin Motorsport - Free Detailing (Interior,Exterior,Kaca) by Vrost - Coating 3 Layer by Vrost - Free Towing Jabodetabek Alamat Showroom : - Distrik Otomotif Pik 2 Blok H 16-17 - Pusat Otomotif Indonesia Pik 2 Blok D no 1 Harga Kredit : 625 Jt Harga Cash : 675 Jt"
toyota avanza (2018),Bensin,Rp 135.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Manual,>300.000 Km,"Deskripsi Dijual Avanza Transmover 2018 Sudah Upgrade Tipe Veloz GR - Merek Mobil : Toyota - Tahun Pembuatan : 2018 - Model Mobil : Avanza (Upgrade Tipe Veloz GR) - Varian Mobil : 1.3 Transmover Bensin - Manual - Jenis Bahan Bakar : Bensin - Jarak Tempuh : 363838 - Warna Mobil : Putih - Plat B Genap - Service Rutin Bengkel Bluebird - Mesin Kering, Halus, Terawat - AC Dingin Dilengkapi Double Blower - Kaki Kaki Empuk - Bebas Laka dan Banjir - 7 Seater Kabin Luas - Cocok Untuk Pemakaian Pribadi Atau Perusahaan - Perawatan Mudah, Sparepart Banyak di Bengkel Manapun - Surat Surat Lengkap - Pajak Panjang Feb 2026 (Kaleng Feb 2029) Lokasi Showroom Bluebird Pool Margasatwa, Pondok Labu Jakarta Selatan. Cek unit dan tes drive di showroom yuk!!! Harga 135Jt Nego!!! Khusus pembelian Agustus 2025 dapatkan free service dan free ganti oli"
bmw x5 (2015),Bensin,Rp 335.000.000,>2.000 - 3.000 cc,"Cilandak, Jakarta Selatan",Automatic,50.000-55.000 Km,"Deskripsi BMW X5 xDrive35i M Sport 2015 Black on Espresso (Brown) Service Record BMW 3.0L Inline-6 Twin Power Turbo 8S Steptronic AT Transmission Odo 55rb Mls NIK 2014 Regis 2015 Tax : 09/26 AWD Electric and Leather Seat Reversing Camera BMW iDrive 6 Panoramic Sunroof Bonus Setiap Pembelian Unit di Amin Motorsport - Free bensin full tank - Free Detailing (Interior,Exterior,Kaca) by Vrost - Coating 3 Layer by Vrost - Free Towing Jabodetabek Alamat Showroom : - Distrik Otomotif PIK 2 Blok H 16-17 - Pusat Otomotif Indonesia PIK 2 Blok D No 1 Harga Credit: 335 Harga Cash : 385"
mitsubishi outlander sport (2016),Bensin,Rp 158.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,115.000-120.000 Km,"Deskripsi Rare, Type PX (Panoramic) Type paling tinggi di kelasnya 2.0L cc boleh besar dan bertenaga Soal irit boleh uji coba dan buktikan sendiri Spec Kendaraan yang kami jual : * NIK 2016 / Pemakaian 2016 * Mobil Rawatan - Service teratur Bon telampir riwayat Komplit * a/n Perorangan * PJK     : 12 November 2025 * NoPol : B 2409 WBH / Ganjil * B dari Tangerang Selatan * All Doc. Lengkap Garansi Mesin & Matic 1 Tahun Sudah Pemerajaan di Agustus 2025 (Bon Telampir) : * Shock + Kaki2 depan New * 4pcs New Ban BridgeStone Turanza * Kaca Film Full JetBlack * Kuras Oli Matic 8 Liter (by Repsol) Bebas untuk General Check Up di Bengkel resmi / memakai Jasa Inspec Sehingga cust merasa puas membeli mobil second di tempat kami Biaya ditanggung cust / pembeli. TDP dapat disesuaikan dengan keinginan Cust / Pembeli. Supported Finance : CIMB Finance Kredit di OTR 158,000,000 TDP 33,000,000 / Pembayaran Pertama angsuran 5,031,000 x 47 Bulan Asuransi Kombinansi Supported Buana Finance Kredit di OTR 166,000,000 TDP 59,000,000 / Pembayaran pertama angsuran 5,065,000 x 35 Bulan angsuran 4,085,000 x 47 Bulan angsuran 3,580,000 x 59 Bulan Asuransi TLO TDP/ Sudah termasuk - DP - Angsuran bulan pertama - adm OTR Cash Nego di Tempat Untuk memakai KKB mengikutin Harga Cash Alamat Showroom : OSAKA motor Blok A5 No 7 - 8 Bursa Serba OTO Goldland Karawaci, Tangerang. Atau dapat dilihat di Sektor 7C Gading Serpong, Tangerang By Request Best Price and Quality Used Cars best regards, OSAKA motor see.test.buy - Thanks"
toyota calya (2022),Bensin,Rp 125.000.000,>1.000 - 1.500 cc,"Pasar Minggu, Jakarta Selatan",Automatic,20.000-25.000 Km,"Deskripsi Type   : Toyota Calya G 1.2 AT Tahun : 2022 Km      :  24.ribu    (Record) Pajak  :    12-2026 Plat     : B - BELI MOBIL BEKAS BERKUALITAS HANYA DI KT88CARS !! - Garansi Langsung 1 Tahun Gratis Jaminan Garansi Meliputi : Mesin – Transmisi – AC - Kaki-kaki - Sistem Pengereman Layanan ERA (Emergency Road Asistance, Towing darurat) 24 Jam Di Seluruh Indonesia (Syarat dan Ketentuan Berlaku) - Bonus! Free Detailing E Money Flazz, Saldo sampai dengan 2 Jt Rupiah - Mobil mulus dan terawat Tidak bekas banjir dan tidak bekas tabrak Free garansi mesin dan transmisi 1 thn via kredit Free asuransi 1 thn via kredit - Bisa General Check ke Dealer resmi Mobil telah lulus inspek by otospector Mobil siap pakai Bisa Trade in / Tukar Tambah Siap kirim luar kota - KT88Cars Showroom Jual Beli Mobil Bekas Berkualitas Menyediakan banyak pilihan mobil bekas siap pakai Terpercaya, dan memiliki beberapa cabang di Jabodetabek - OTR KREDIT 125 JT OPEN CASH BY CALL - DP Minim : TDP 12,000,000 Angsuran  4.050.000x 47.bln Angsuran  3.480.000x 59.bln - UNTUK REQUEST TDP / HITUNGAN LAIN TENOR 1-6 TAHUN, SILAKAN HUBUNGI KAMI Semua bisa di negoisasi Harga kredit tertera adalah harga minimal kredit dengan tenor 4&5 tahun - LOKASI MOBIL : *SHOWROOM KT88CARS* Bursa Mobil Mega Glodok Kemayoran MGK lantai 3 blok S no 50, RT.5/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610 - BISA CEK MOBIL DI LOKASI CABANG LAIN, INFO LEBIH LENGKAP SILAKAN HUBUNGI KAMI"
suzuki baleno (2022),Bensin,Rp 194.000.000,>1.000 - 1.500 cc,"Pasar Minggu, Jakarta Selatan",Automatic,30.000-35.000 Km,"Deskripsi DIJUAL Suzuki All New Baleno 1.5 AT Abu NIK 2022 KM 35RB Record AUTHORIZED !! OTR Kredit 194 JT OTR CASH 222 JT NEGO PLAT B GENAP ( fkl ) Promo bunga 0% tenor khusus 1 thn mengikuti OTR CASH (s&k berlaku ) Info bisa tlpn /wa Regina ya ... Spesifikasi : #Engine 1.5 Auto ECO Mode #Pajak Bulan 11-2025 #Tangan1daribaruPribadi - Keyless Start Engine - AC Digital - Cruisecontrol & Audiosteer - Electric Retract Mirror - Headup Display HUD, Auto Day Night Mirror, Headunit Apple Carplay Android Auto Camera - Headlamp DRL, Foglamp, Sensorparking, Velg OEM - Buku Servis Manual Kunciserep - KF Solargard proses kredit bisa dibantu( rumah sewa dll s&k) ktp daerah bisa (daerah tertentu).. Terima jual-beli ,tukar tambah ( cash / kredit ) Unit tidak bekas tabrakan dan banjir (boleh cek ke bengkel resmi dulu ) . Minat cepat hubungi Regina ( call / WA )"
toyota alphard (2025),Hybrid,Rp 1.788.100.000,>3.000 cc,"Kebayoran Lama, Jakarta Selatan",Automatic,0 Km,"Deskripsi Iklan Mobil Baru dengan badge ""Mobil Baru"" OLX telah diverifikasi oleh OLX Indonesia. Big Promo Vellfire low DP/ cicilan rendah (TERBATAS) Total Dp mulai : Rp.200jt Atau Cicilan : 19jtaan Serta Proses Cepat, Data Dibantu Sampai 100% Approve. Promo Toyota Terbaik & Termurah. Note : Simulasi Kredit Bisa Disesuaikan Bi Cheking ? Bisa ! Rumah Ngontrak ? Bisa ! Tukar Tambah ? Bisa ! Bonus Banyak ! Anda Sibuk ? Data Dijemput ! Benefit After Sales : Free fasilitas Bengkel Autorized Dealer Resmi TOYOTA Bisa service di seluruh Bengkel RESMI Toyota Gratis Jasa Service 3 thn Garansi Mesin s.d 3th/100.000km Free toolkit set, P3K & dongkrak Free progresif sampai mobil ke 2 Kacafilm 3M Ber Sertifikat Waranty Mesin 100.000 KM ( 3 TH ) Waranty Accu 20.000 KM ( 1 TH ) Pemadam kebakaran ( Apar ) Karpet karet Tatakan plat Talang Air Tersedia promo kredit Tenor 1 s/d 5 th SEGERA BOOKING, SEBELUM PAKET BERAKHIR !"
wuling confero (2024),Bensin,Rp 105.000.000,>1.000 - 1.500 cc,"Pasar Minggu, Jakarta Selatan",Manual,5.000-10.000 Km,Deskripsi WULING CONFERO DB 2024 MT MANUAL ABU ABU KM 9 RB !! PLAT B CIKARANG PAJAK HIDUP NOVEMBER 2025 MENERIMA CASH/ KREDIT PROSES DIBANTU SAMPAI APPROVED BUKA 24JAM SILAKAN CEK DAN BAWA MEKANIK TERBAIKMU
toyota camry (2019),Bensin,Rp 250.000.000,--,"Cilandak, Jakarta Selatan",Automatic,135.000-140.000 Km,Deskripsi Merek mobil: Toyota Tahun pembuatan: 2019 Model mobil: Camry Varian mobil: mobil-bekas-toyota-camry-2.5-g-bensin-at-AT Jenis bahan bakar mobil: Bensin Jarak tempuh mobil: 140000 Warna mobil: Hitam Transmisi mobil: Otomatis Tipe penjual: Individual
toyota kijang innova (2023),Bensin,Rp 311.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,20.000-25.000 Km,"Deskripsi FOR SALE Toyota Zenix 2.0 G CVT AT Abu NIK 2023, PAJAK BULAN 8 (2026), ODOMETER 24RB KM RECORD AUTHROIZED - BELI MOBIL BEKAS TANPA KHAWATIR CUMA DI BELANJAMOBIL! Kami Berikan Garansi Langsung 1 Tahun GRATIS! Jaminan Garansi Meliputi : 1. Mesin 2. Transmisi 3. AC 4. Kaki-kaki 5. Sistem Pengereman 6. Layanan ERA (Emergency Road Asistance) Bonus! Free Detailing (pembersihan) 2x (1 tahun) -UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali) -Dokumen ABSAH Focus Motor / Belanja Mobil sudah hadir di Indonesia sejak 25 tahun. Prioritas kami adalah menjaga kepuasan customer dan berkomitmen untuk menghadirkan mobil bekas terbaik untuk konsumen. - OTR KREDIT 311JT OTR CASH BY CALL Bunga Premium TDP 98,393,870 Angsuran 8,778,000 x47 TDP 78,081,083 Angsuran 8,212,000 x59 DP Minim Tdp 58jt Angs 8,577,000 x47 tlo Tdp 53jt Angs 7,545,000 x59 tlo UNTUK REQUEST DP & SIMULASI KREDIT LAIN SILAKAN HUBUNGI KAMI Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda) - Spesifikasi : * Tangan Pertama Dari Baru, Pribadi * Engine 2.0 cc Dual VVT-i Automatic * 6 Speed Transmission * Keyless Start Stop Engine * Electric Miror And Retract * Audio Steering Switch * AC Digital Single Zone With Blower * Infotainment System Touchscreen With Android Auto & Apple Carplay * Jok Leather Seat * LED Multireflector Headlamp, Foglamp * SRS Airbags, ABS, EBD, BA, VSC, COMPLETE SAFETY CAR * Rear Parking Camera, Parking Censor * Electric Park Brake, Traction Control System, Electric Hold Brake * Kaca Film Llumar * Kunci Cadangan, Buku Manual + Service Tersedia LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (ROM) (B)"
mitsubishi triton (2017),Diesel,Rp 188.000.000,>2.000 - 3.000 cc,"Pancoran, Jakarta Selatan",Manual,95.000-100.000 Km,Deskripsi Mitsubishi Triton HDX 2.5 4x4 manual 2017 (Nik 2016) -komplit -warna putih -nopol b -tangan pertama -2.5 turbo -4x4 aktif -ac dingin -bodi mesin interior mulus -Siap pakai -Pajak 03/2026 -surat surat lengkap Harga 188jt Bisa kredit/ Tukar Tambah Mobil Murah
porsche macan (2014),Bensin,Rp 750.000.000,>3.000 cc,"Kebayoran Lama, Jakarta Selatan",Otomatis,40000 Km,Deskripsi Pemakaian pribadi (jarang di pakai) Lokasi pondok indah Lebih detail cek langsung ke lokasi Harga nego (gak sadis) Merek mobil: Porsche Tahun pembuatan: 2014 Model mobil: Macan Varian mobil: AT Jenis bahan bakar mobil : shell Jarak tempuh mobil: 30000 Warna mobil: Putih Transmisi mobil: Otomatis Tipe penjual: Individual
toyota vellfire (2018),Bensin,Rp 526.000.000,>2.000 - 3.000 cc,"Cilandak, Jakarta Selatan",Automatic,65.000-70.000 Km,"Deskripsi ""Toyota Vellfire 2.5 G Bensin-AT 2018 . Khusus Harga Kredit : Rp 526,000,000 Khusus Harga Cash : Rp 554,000,000 TDP : Hubungi Kami Angsuran 4 tahun : Hubungi Kami Angsuran 5 tahun : Hubungi Kami . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 69,554 km - Transmisi : AT - Pajak : 01-Jan-2026 - Plat : Genap - KN : KBL . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Utami Widiyastuti - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
toyota sienta (2016),Bensin,Rp 156.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Manual,85.000-90.000 Km,"Deskripsi ""Toyota Sienta 1.5 V Bensin-MT 2017 . Khusus Harga Kredit : Rp 156,000,000 Khusus Harga Cash : Rp 166,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 87,059 km - Transmisi : MT - Pajak : 01-May-2026 - Plat : Ganjil/Genap - KN : CKMVB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Arteri - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
honda cr-v (2018),Bensin,Rp 301.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,75.000-80.000 Km,"Deskripsi ""Honda CR-V 1.5 Turbo Prestige Bensin-AT 2017 OTOMATIS Abu . Khusus Harga Kredit : Rp 301,000,000 Khusus Harga Cash : Rp 311,000,000 . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.750.000! Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesiffikasi - Dokumen Lengkap a/n : Perorangan - Odometer : 78,358 km - Transmisi : OTOMATIS - Pajak : February 2026 - Plat : Genap - Warna : Abu - KN : SJU . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Jaminan 7 hari jaminan uang kembali - Test Drive dari Rumah, - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi . Kunjungi Kami Di : Olx Mobbi Arteri Cilandak . Daniel Nugroho - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
daihatsu ayla (2022),Bensin,Rp 107.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Manual,25.000-30.000 Km,"Deskripsi ""Daihatsu Ayla 1.2 R Bensin-MT 2022 . Khusus Harga Kredit : Rp 107,000,000 Khusus Harga Cash : Rp 113,000,000 TDP : Hubungi Kami Angsuran 4 tahun : Hubungi Kami Angsuran 5 tahun : Hubungi Kami . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 29,973 km - Transmisi : MT - Pajak : 01-Jun-2023 - Plat : Genap - KN : HFO . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Utami - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
bmw 520i (2020),Bensin,Rp 579.000.000,>1.500 - 2.000 cc,"Pancoran, Jakarta Selatan",Automatic,25.000-30.000 Km,"Deskripsi NBK BMW 520i M sport Limited edition Tahun 2020 - Odo 27.000 Miles (Record) – Pajak 06 (2026) -Regist STNK, faktur,BPKB, pemakaian 06/2021 BELI MOBIL BEKAS BERKUALITAS HANYA DI KT88CARS !! - Garansi Langsung 1 Tahun Gratis Jaminan Garansi Meliputi : Mesin – Transmisi – AC - Kaki-kaki - Sistem Pengereman Layanan ERA (Emergency Road Asistance, Towing darurat) 24 Jam Di Seluruh Indonesia (Syarat dan Ketentuan Berlaku) - Bonus! Free Detailing E Money Flazz, Saldo sampai dengan 2 Jt Rupiah - Mobil mulus dan terawat Tidak bekas banjir dan tidak bekas tabrak Free garansi mesin dan transmisi 1 thn via kredit Free asuransi 1 thn via kredit - Bisa General Check ke Dealer resmi Mobil telah lulus inspek by otospector Mobil siap pakai Bisa Trade in / Tukar Tambah Siap kirim luar kota - KT88Cars Showroom Jual Beli Mobil Bekas Berkualitas Menyediakan banyak pilihan mobil bekas siap pakai Terpercaya, dan memiliki beberapa cabang di Jabodetabek - OTR KREDIT 579JT OPEN CASH BY CALL - DP Minim : TDP 15,000,000 Angsuran  16.442.000. x 59 Bln TDP 50.000.000 Angsuran. 15.159.000. x 59 Bln DP Normal TDP 166.000,000 Angsuran 11.476.000. X 59 Bln - UNTUK REQUEST TDP / HITUNGAN LAIN TENOR 1-6 TAHUN, SILAKAN HUBUNGI KAMI Semua bisa di negoisasi Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun - LOKASI MOBIL : Bursa Mobil Mega Glodok Kemayoran MGK lantai 3 blok S no 50, Kemayoran, Kota Jakarta Pusat, - BISA CEK MOBIL DI LOKASI CABANG LAIN, INFO LEBIH LENGKAP SILAKAN HUBUNGI KAMI"
lexus rx200t (2017),Bensin,Rp 610.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,75.000-80.000 Km,"Deskripsi LEXUS RX 200T F SPORT Tahun 2017 Putih Nopol L Ganjil Kilometer 80rb Pajak April 2026 OPTION : - F Sport Body - F Sport wheels - Panoramic sunroof - Electric Leather seats - Audio by Mark Levinson - Memory seats - Power Back Door - Engine start / stop button - Audio by Mark Levinson - All view Camera 360 - Track PAD - GPS indonesia - Power Back Door - Mode : Eco/Normal/Sport Note: Tangan pertama Service record OTR CREDIT : 610 JT TDP 151 JTan Angs 15JTan x 47 bln (Include Angsuran ke-1 dan Asuransi) PAKET TDP 55 JT Angs 18JTan x 47 bln PAKET BUNGA 0% TDP 446 JTan Angs 22 JT x 11 bln Asuransi Allrisk OTR CASH : by call Kelebihan dan Keunggulan kami - Mobil bebas tabrak - ⁠Mobil bebas banjir - ⁠KM Asli tidak putaran - ⁠Mobil lulus uji inspeksi 199 titik - KTP Daerah bisa proses - Siap kirim luar kota - ⁠Tersedia Test Drive** - ⁠Bonus e-Toll** - ⁠Bonus Coating** - ⁠Garansi extra hingga 1 Tahun** - Garansi Uang Kembali** **(syarat dan ketentuan berlaku) BARUNA MOTOR - Trusted Car Solution New and used car Sell/buy, cash - kredit - trade in Jl. RS Fatmawati Raya No 79-80 Cilandak, Jakarta Selatan."
